mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.16204285621643066,0.008970404735969318,0.01423802375793457,0.001418677989284197,5,0.2,3,5,51,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 51}",0.9591836734693877,0.7908163265306123,0.8520408163265305,0.8724489795918366,0.8626373626373627,0.8674254317111458,0.05398773556359531,1187
0.16964459419250488,0.009039533566815845,0.01432938575744629,0.0026985036254717517,5,0.2,3,5,53,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 53}",0.9642857142857143,0.7857142857142858,0.8520408163265305,0.8724489795918366,0.8571428571428571,0.8663265306122447,0.05730661666162844,1315
0.17715373039245605,0.007887463287075222,0.01426234245300293,0.0006514497983482505,5,0.2,3,5,55,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 55}",0.9693877551020409,0.7857142857142858,0.8622448979591836,0.8877551020408163,0.8571428571428571,0.8724489795918366,0.05914847651505893,823
0.17759370803833008,0.010256158243370518,0.014722824096679688,0.0010920333835653642,5,0.2,3,5,57,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 57}",0.9744897959183674,0.7959183673469388,0.8571428571428571,0.8979591836734693,0.8516483516483516,0.8754317111459967,0.059232581218609366,628
0.18906865119934083,0.008514188724815219,0.017033767700195313,0.002824245272205982,5,0.2,3,5,60,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 60}",0.9591836734693877,0.7806122448979592,0.8724489795918366,0.9132653061224489,0.8736263736263736,0.8798273155416012,0.058910190158400114,365
0.09768271446228027,0.006073525749694965,0.011789369583129882,0.003108558481637714,5,0.2,3,6,30,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 30}",0.9387755102040816,0.7959183673469388,0.8367346938775511,0.8979591836734693,0.8516483516483516,0.8642072213500784,0.04954887933802235,1527
0.1195643424987793,0.019499380068603345,0.011290788650512695,0.0012783211385038829,5,0.2,3,6,32,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 32}",0.9387755102040817,0.7908163265306123,0.8469387755102041,0.8979591836734693,0.8516483516483517,0.865227629513344,0.05007307933711872,1438
0.13513879776000975,0.03084207701574654,0.013538026809692382,0.002812724157759281,5,0.2,3,6,34,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 34}",0.9489795918367346,0.8010204081632653,0.8367346938775511,0.8877551020408163,0.8406593406593407,0.8630298273155415,0.05106024287221621,1656
0.1243675708770752,0.01699196245176914,0.014092302322387696,0.002727509939586843,5,0.2,3,6,36,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 36}",0.9540816326530612,0.7857142857142857,0.846938775510204,0.8928571428571428,0.8516483516483517,0.8662480376766091,0.055667707924181374,1319
0.1273885726928711,0.01200326094487232,0.011148500442504882,0.0007196634128088738,5,0.2,3,6,38,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 38}",0.9591836734693877,0.7857142857142857,0.8520408163265306,0.8826530612244897,0.8791208791208791,0.8717425431711145,0.05587208540073876,876
0.13259081840515136,0.009910286508174613,0.012239027023315429,0.0003840924463680385,5,0.2,3,6,40,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 40}",0.9591836734693877,0.8010204081632653,0.8571428571428572,0.8673469387755102,0.8901098901098901,0.8749607535321822,0.051313972486961734,660
0.15140528678894044,0.024469478399876465,0.014156484603881836,0.003364677609034232,5,0.2,3,6,42,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 42}",0.9540816326530612,0.8163265306122449,0.8622448979591837,0.8826530612244897,0.8626373626373626,0.8755886970172684,0.044875036688377994,613
0.15459465980529785,0.024287537507471348,0.013136482238769532,0.0007675354864843117,5,0.2,3,6,45,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 45}",0.9540816326530612,0.7959183673469388,0.8724489795918366,0.8673469387755102,0.8736263736263736,0.872684458398744,0.05009583711697946,813
0.16705594062805176,0.028099676626760703,0.013344764709472656,0.001920262399799349,5,0.2,3,6,47,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 47}",0.9438775510204082,0.8010204081632654,0.8520408163265305,0.8775510204081632,0.8736263736263736,0.8696232339089482,0.04606097620415497,1029
0.1549285888671875,0.006399736172978534,0.014596128463745117,0.0019176839213748938,5,0.2,3,6,49,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 49}",0.9540816326530612,0.8010204081632654,0.8571428571428571,0.8775510204081632,0.8736263736263736,0.8726844583987441,0.04904558710511158,806
0.16462554931640624,0.012909384871241365,0.01468963623046875,0.0020124762951103017,5,0.2,3,6,51,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 51}",0.9591836734693877,0.7908163265306123,0.8520408163265305,0.8724489795918366,0.8626373626373627,0.8674254317111458,0.05398773556359531,1187
0.16815562248229982,0.010695957938086472,0.014850616455078125,0.0008839941568911726,5,0.2,3,6,53,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 53}",0.9642857142857143,0.7857142857142858,0.8520408163265305,0.8724489795918366,0.8571428571428571,0.8663265306122447,0.05730661666162844,1315
0.18044619560241698,0.005294423348894926,0.014368915557861328,0.001147603926236812,5,0.2,3,6,55,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 55}",0.9693877551020409,0.7857142857142858,0.8622448979591836,0.8877551020408163,0.8571428571428571,0.8724489795918366,0.05914847651505893,823
0.1787890911102295,0.006038634578557398,0.015129709243774414,0.0006042001279581049,5,0.2,3,6,57,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 57}",0.9744897959183674,0.7959183673469388,0.8571428571428571,0.8979591836734693,0.8516483516483516,0.8754317111459967,0.059232581218609366,628
0.19398002624511718,0.013767580229595167,0.015321302413940429,0.0008898356369018444,5,0.2,3,6,60,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 60}",0.9591836734693877,0.7806122448979592,0.8724489795918366,0.9132653061224489,0.8736263736263736,0.8798273155416012,0.058910190158400114,365
0.1011390209197998,0.0054254895069242946,0.013016271591186523,0.0028228313589114054,5,0.2,3,7,30,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 30}",0.9489795918367346,0.7551020408163265,0.8520408163265306,0.8877551020408163,0.7912087912087912,0.8470172684458397,0.06876644197905608,3338
